"policy_area","series_name","description","overview","age","disability","ethnicity","gender","religion","sexualOrientation","transgender","socioEconomicStatus"
"Income and Poverty","Progress on socio-economic rights in Great Britain","An Equality and Humans Rights Commission report on the progress on socio-economic rights focusing on domestic law and policy; standard of living and social security; employment; and access to justice. This report includes analysis of child poverty, and the equality characteristics disability, ethnicity and gender. Note that this report focuses on England and Wales, and only includes Scotland for policy areas that are not devolved to the Scottish Government.",1,1,1,1,1,,,,
"Income and Poverty","Tackling child poverty in Scotland: Analysis of focus group consultation findings","This report presents findings from focus groups commissioned by the Scottish Government between November 2010 and January 2011 to inform the development of the Child Poverty Strategy for Scotland.",1,1,,,,,,,
"Income and Poverty","Tackling Poverty Board: A Summary of Evidence","Research paper produced by the Tackling Poverty board. Looks at finances, geography and employment prospects. Includes age, disability, ethnicity and gender",1,1,1,1,1,,,,
"Income and Poverty","The gender pay gap in the UK: children and experience in work","An Institute for Fiscal Studies paper looking at the gender pay gap. It looks at the gender pay gap over a 25 year period and investigates the impact that gender differences in career patterns might have on pay, including part-time working",,,,,1,,,,
"Income and Poverty","The potential impacts of an online delivery of Universal Credit - Welfare Analysis","This paper includes a section on socio-economic characteristics of those who are less likely to use the internet. It covers age, disability, ethnicity, and gender

",1,1,1,1,1,,,,
"Income and Poverty","UK Poverty","An analysis of poverty rates in the UK and how these have changed over the past twenty years.  Some of the analysis is presented for Scotland separately.  This report covers age, disability, ethnicity and gender.",1,1,1,1,1,,,,
"Income and Poverty","Poverty and social exclusion in urban and rural areas of Scotland","The report presents an initial analysis of the Poverty and Social Exclusion UK Survey, focusing on poverty and social exclusion in rural and urban areas of Scotland. It looks at rural/urban differences and at poverty or material disadvantage, along with a broader analysis across the range of social exclusion domains.",1,,,,,,,,
"Income and Poverty","The Experience of Rural Poverty in Scotland","Qualitative research with single pensioners, single parents, disabled people, people with mental ill health, and migrant workers to examine whether and how the experience of poverty is distinctive in rural Scotland.",1,1,1,1,,,,,
"Income and Poverty","Persistent Poverty in Scotland","Estimates of the proportion of people living in persistent poverty in Scotland between 2010 and 2016. Includes analysis by age including children, working-age people and pensioners.",1,1,,,,,,,
"Income and Poverty","The Disability Price Tag","Report looking at the additional costs faced by disabled people. Within Scotland these costs were on average an additional £600 per month for disabled people, in addition to welfare payments designed to meet these disability-related costs.",1,,1,,,,,,
"Labour Market and Social Security","How Fair is Britain?: Report of EHRC first triennial review","This Equality and Human Rights review aims to provide an authoritative compilation of the available evidence about equalities in England, Scotland and Wales against 40 indicators agreed by the Commission, the government and other key agencies. It brings together the facts about the experiences and outcomes in life of different individuals and groups. It draws on a range of sources including censuses, government surveys, academic work, and secondary analysis carried out especially for this Review.",1,1,1,1,1,1,1,1,
"Labour Market and Social Security","Inequality among lesbian, gay bisexual and transgender groups in the UK: A review of evidence","A review of evidence to identify the inequality and disadvantage experienced by lesbian, gay, bisexual and transgender people in the UK. ",,,,,,,1,1,
"Labour Market and Social Security","LGBT in Britain: Trans Report","Report based on research with 871 trans and non-binary people within the UK.  It covers hate crime, discrimination, work, higher education, healthcare and housing",1,,,,,,,1,
"Labour Market and Social Security","Life in Scotland for LGBT Young People","Analysis from a survey of LGBT young people in Scotland, covering homophobia, biphobia, and transphobia, discrimination, hate crime, transport, education, health and work.",,,,,,,1,1,
"Labour Market and Social Security","Non-binary people's experiences in the UK","A Scottish Transgender Alliance survey of 895 non-binary people's experiences of services and employment within the UK.",,,,,,,,1,
"Labour Market and Social Security","Regional Employment Patterns in Scotland - Statistics from the Annual Population Survey","Summary publication of results from the Annual Population Survey, presenting analysis on the labour market, education and training. The main publication contains data on age, disability, ethnicity and gender, with further equalities analysis found in the Supplementary Local Authority Tables.",1,1,1,1,1,1,,,
"Labour Market and Social Security","Scottish Government Equality Outcomes: Age Evidence Review","A comprehensive review of available evidence in relation to age equality.",,2,,,,,,,
"Labour Market and Social Security","Scottish Government Equality Outcomes: Disability Evidence Review","A comprehensive review of available evidence in relation to disability.",,,2,,,,,,
"Labour Market and Social Security","Scottish Government Equality Outcomes: Ethnicity Evidence Review","A comprehensive review of available evidence in relation to ethnicity.",,,,2,,,,,
"Labour Market and Social Security","Scottish Government Equality Outcomes: Gender Evidence Review","A comprehensive review of available evidence in relation to gender",,,,,2,,,,
"Labour Market and Social Security","Scottish Government Equality Outcomes: Lesbian, Gay, Bisexual and Transgender (LGBT) Evidence Review","A comprehensive review of available evidence in relation to sexual orientation and transgender people",,,,,,,2,2,
"Labour Market and Social Security","Scottish Government Equality Outcomes: Religion and Belief Evidence Review","A comprehensive review of available evidence in relation to religion",,,,,,2,,,
"Labour Market and Social Security","Sexual Orientation in Scotland","This report draws together statistics and research on sexual orientation from a range of sources and presents these in a single bulletin, providing user-friendly infographics and commentary. It examines the differences between heterosexual adults in Scotland and those who self-identify their sexual orientation as lesbian, gay, bisexual or other in major household surveys.",,,,,,,1,,
"Labour Market and Social Security","Supporting Trans Employees in the Workplace","Research paper looking at experiences of trans people within the workplace. Contains a review of existing literature, as well as results of a qualitative study of trans employees experiences.",1,,,,,,,1,
"Labour Market and Social Security","Trans Mental Health and Emotional Wellbeing Study","A Scottish Transgender Alliance survey of trans and non-binary people living in the UK covering, mental and physical health, employment and housing",1,,,,,,,1,
"Labour Market and Social Security","Disability, Skills and Employment: A Review of Recent Statistics and Literature","A review of the current literature, statistics and debates in order to inform the EHRC's work aimed at narrowing the employment and skills gap between disabled and non-disabled people.",1,,1,,,,,,
"Labour Market and Social Security","Employability in Scotland: Women and Work","Briefings and research reports on women and work",,,,,2,,,,
"Labour Market and Social Security","EU Nationals Living and Working in Scotland","This paper presents key statistics relating to the economic status of migrants, from both the EU and from outside the EU, who are resident in Scotland.",2,,,2,,,,,
"Labour Market and Social Security","labour Market Statistics Monthly Briefing Paper","The monthly publication contains headline Labour Market Statistics, trends by gender and youth employment and unemployment.",1,1,,,1,,,,
"Labour Market and Social Security","Non-UK nationals living and working in Scotland 2016","These tables present a range of labour market information for EU nationals and non-EU nationals living and working in Scotland sourced from the Annual Population Survey.  Information is included on the following topics; employment rate, industry and occupation of employment and level of skills.",2,,,2,,,,,
"Labour Market and Social Security","Older People Inside and Outside the Labour Market: A Review","Report reviewing older people (50+) within and out of the labour market at different life stages.",1,1,,,,,,,
"Labour Market and Social Security","Older Workers in the Labour Market","Report for the TUC Women's Conference on older women and the labour market.",1,1,,,1,,,,
"Labour Market and Social Security","The Changing Labour Market","Key evidence on the current and projected status of women in the labour market",1,,,,1,,,,
"Labour Market and Social Security","The Double Glazed Glass Ceiling: Lesbians in the Workplace","An investigation into the concerns about openly-gay women in their workplaces and whether gender or sexual orientation is more of a barrier to success.",1,,,,,,1,,
"Labour Market and Social Security","The Female FTSE Board Report","A report from Cranfield University on the progress to date of women on boards in business",1,,,,1,,,,
"Local Government and Third Sector","How Fair is Britain?: Report of EHRC first triennial review","This Equality and Human Rights review aims to provide an authoritative compilation of the available evidence about equalities in England, Scotland and Wales against 40 indicators agreed by the Commission, the government and other key agencies. It brings together the facts about the experiences and outcomes in life of different individuals and groups. It draws on a range of sources including censuses, government surveys, academic work, and secondary analysis carried out especially for this Review.",1,1,1,1,1,1,1,1,
"Local Government and Third Sector","Inequality among lesbian, gay bisexual and transgender groups in the UK: A review of evidence","A review of evidence to identify the inequality and disadvantage experienced by lesbian, gay, bisexual and transgender people in the UK. ",,,,,,,1,1,
"Local Government and Third Sector","Scottish Government Equality Outcomes: Age Evidence Review","A comprehensive review of available evidence in relation to age equality.",,2,,,,,,,
"Local Government and Third Sector","Scottish Government Equality Outcomes: Disability Evidence Review","A comprehensive review of available evidence in relation to disability.",,,2,,,,,,
"Local Government and Third Sector","Scottish Government Equality Outcomes: Ethnicity Evidence Review","A comprehensive review of available evidence in relation to ethnicity.",,,,2,,,,,
"Local Government and Third Sector","Scottish Government Equality Outcomes: Gender Evidence Review","A comprehensive review of available evidence in relation to gender",,,,,2,,,,
"Local Government and Third Sector","Scottish Government Equality Outcomes: Lesbian, Gay, Bisexual and Transgender (LGBT) Evidence Review","A comprehensive review of available evidence in relation to sexual orientation and transgender people",,,,,,,2,2,
"Local Government and Third Sector","Scottish Government Equality Outcomes: Religion and Belief Evidence Review","A comprehensive review of available evidence in relation to religion",,,,,,2,,,
"Local Government and Third Sector","Scottish Household Survey","This report presents reliable and up-to-date information on the composition, characteristics and behaviour of Scottish households, both nationally and at a sub-national level. This includes analysis of age, deprivation, disability, ethnicity, gender, religion and sexual orientation",1,1,1,1,1,1,,,
"Local Government and Third Sector","Public Appointments in Scotland: Diversity Analysis Report","A report providing an equality breakdown of public appointments, by disability, ethnicity, gender, religion and sexual orientation",1,,1,1,1,1,1,,
"Local Government and Third Sector","Public Sector Employment in Scotland","Table 10 provides a headcount of local government employment by local authority and gender, from 2000 to the present",1,,,,1,,,,
"Local Government and Third Sector","Scotland's Councillors","his report presents the findings of a survey of all councillors in Scotland following the May 2017 local elections. It includes age, ethnicity, gender and religion of councillors in Scotland",1,1,,1,1,1,1,,
"Local Government and Third Sector","Your Services, Your Say: LGBT People's Experiences of Public Services in Scotland","A survey of more than 1,000 lesbian, gay, bisexual and trans (LGBT) people in Scotland about their experiences and expectations of accessing key public services.",1,,,,,,1,1,
"Rural and Environment","All Our Futures: Planning for a Scotland with an Ageing Population: 3 The Evidence Base","Draws on a variety of quantitative and qualitative research and statistical data to bring together some of the key evidence on older people.",1,1,,,,,,,
"Rural and Environment","Scottish Government Equality Outcomes: Age Evidence Review","A comprehensive review of available evidence in relation to age equality.",,2,,,,,,,
"Rural and Environment","Scottish Government Equality Outcomes: Disability Evidence Review","A comprehensive review of available evidence in relation to disability.",,,2,,,,,,
"Rural and Environment","Scottish Government Equality Outcomes: Ethnicity Evidence Review","A comprehensive review of available evidence in relation to ethnicity.",,,,2,,,,,
"Rural and Environment","Scottish Government Equality Outcomes: Gender Evidence Review","A comprehensive review of available evidence in relation to gender",,,,,2,,,,
"Rural and Environment","Scottish Government Equality Outcomes: Lesbian, Gay, Bisexual and Transgender (LGBT) Evidence Review","A comprehensive review of available evidence in relation to sexual orientation and transgender people",,,,,,,2,2,
"Rural and Environment","Scottish Government Equality Outcomes: Religion and Belief Evidence Review","A comprehensive review of available evidence in relation to religion",,,,,,2,,,
"Rural and Environment","Access to outdoor recreation by older people in Scotland","This report details research on access to outdoor recreation for older people, covering age and disability",1,1,1,,,,,,
"Rural and Environment","Drivers of youth out-migration from rural Scotland","A review of the research literature to explore the key drivers of youth out-migration from rural Scotland. Considers age and gender",1,1,,,1,,,,
"Rural and Environment","Factors inluencing rural migration decisions in Scotland","This study coordinates evidence of the factors influencing rural migration decisions in Scotland, and ascertains the implications for policy. It focuses on age/life-stage related factors.",1,1,,,,,,,
"Rural and Environment","Green health project","This research explored relationships between green space and adult’s physical and mental health in urban areas, using a range of methods and disciplinary approaches. Results are available by age, gender and income/deprivation.",1,1,1,,,,,,
"Rural and Environment","Growing up in rural Scotland","This report uses data from the Growing up in Scotland ( GUS) study to explore what is distinctive about growing up in rural, remote and small-town Scotland in comparison with urban Scotland. Findings are based on the first sweep of GUS, which involved interviews with the main carers of 5,217 children aged 0-1 years old and 2,859 children aged 2-3 years old, carried out between April 2005 and March 2006.",1,1,,,,,,,
"Rural and Environment","Housing issues for older people in rural areas","This think piece offers expert reflections on policy actions inferred from the evidence base on older people's housing and support needs in rural Scotland.",1,1,,,,,,,
"Rural and Environment","Mapping Flood Disadvantage in Scotland","This research identifies and maps the neighbourhoods in Scotland that are most disadvantaged by flooding. It looks at the likelihood of an area being flooded and the socio-demographic characteristics of people who live there. The research found that whilst there are no simple equality patterns in those at risk of flooding, older people and disabled people were less able to cope during and after flooding events.",1,1,1,,,,,,
"Rural and Environment","Poverty and social exclusion in urban and rural areas of Scotland","The report presents an initial analysis of the Poverty and Social Exclusion UK Survey, focusing on poverty and social exclusion in rural and urban areas of Scotland. It looks at rural/urban differences and at poverty or material disadvantage, along with a broader analysis across the range of social exclusion domains.",1,,,,,,,,
"Rural and Environment","Rural Scotland Key Facts","This booklet summarises key facts relating to the economy, transport, education, health and housing, comparing and contrasting remote and accessible remote areas with the rest of Scotland. Includes analysis by age, gender and deprivation.",1,1,,,1,,,,
"Rural and Environment","Special Study on Rural Poverty","A literature review on poverty in rural areas. It explores the characteristics of living in poverty in rural areas and how it differs to living in poverty in urban areas and it identified the policy options and examples of success/good practice in moving people out of poverty in rural areas.",1,1,,,,,,,
"Rural and Environment","The Experience of Rural Poverty in Scotland","Qualitative research with single pensioners, single parents, disabled people, people with mental ill health, and migrant workers to examine whether and how the experience of poverty is distinctive in rural Scotland.",1,1,1,1,,,,,
"Rural and Environment","Voices of women in rural Scotland","The comprehensive report is organised around the key themes of education, health and wellbeing, housing, local services and transport and travel.",1,,,,1,,,,
"School Education","Experiences of Muslims living in Scotland","This is the final report of a study into the experiences of Muslims living in Scotland, with specific focus on experiences of discrimination and religious intolerance.",,,,,,1,,,
"School Education","How Fair is Britain?: Report of EHRC first triennial review","This Equality and Human Rights review aims to provide an authoritative compilation of the available evidence about equalities in England, Scotland and Wales against 40 indicators agreed by the Commission, the government and other key agencies. It brings together the facts about the experiences and outcomes in life of different individuals and groups. It draws on a range of sources including censuses, government surveys, academic work, and secondary analysis carried out especially for this Review.",1,1,1,1,1,1,1,1,
"School Education","Inequality among lesbian, gay bisexual and transgender groups in the UK: A review of evidence","A review of evidence to identify the inequality and disadvantage experienced by lesbian, gay, bisexual and transgender people in the UK. ",,,,,,,1,1,
"School Education","Life in Scotland for LGBT Young People","Analysis from a survey of LGBT young people in Scotland, covering homophobia, biphobia, and transphobia, discrimination, hate crime, transport, education, health and work.",,,,,,,1,1,
"School Education","Scottish Government Equality Outcomes: Age Evidence Review","A comprehensive review of available evidence in relation to age equality.",,2,,,,,,,
"School Education","Scottish Government Equality Outcomes: Disability Evidence Review","A comprehensive review of available evidence in relation to disability.",,,2,,,,,,
"School Education","Scottish Government Equality Outcomes: Ethnicity Evidence Review","A comprehensive review of available evidence in relation to ethnicity.",,,,2,,,,,
"School Education","Scottish Government Equality Outcomes: Gender Evidence Review","A comprehensive review of available evidence in relation to gender",,,,,2,,,,
"School Education","Scottish Government Equality Outcomes: Lesbian, Gay, Bisexual and Transgender (LGBT) Evidence Review","A comprehensive review of available evidence in relation to sexual orientation and transgender people",,,,,,,2,2,
"School Education","Scottish Government Equality Outcomes: Religion and Belief Evidence Review","A comprehensive review of available evidence in relation to religion",,,,,,2,,,
"School Education","Achievement of Curriculum for Excellence (CfE) Levels","This publication the results of the Achievement of Curriculum for Excellence (CfE) Levels data collection, detailing pupils’ achievement (based on Teachers Professional Judgements) in reading, writing, listening and talking and numeracy. The publication contains breakdowns for ethnicity, gender, additional support needs, urban-rural classification, and deprevation.",1,,1,1,1,,,,
"School Education","Homophobic, biphobic and transphobic bullying: Review","Research into how to prevent homophobic, biphobic and transphobic bullying in schools. It includes a review of existing literature, and a mixed methods study of teachers and pupils",1,,,,,,1,1,
"School Education","Programme for International Student Assessment (PISA)","Highlights from Scotland's Results. The Programme for International Student Assessment (PISA) is an international assessment of student attainment in reading, maths and science at age fifteen.",1,,,,1,,,,
"School Education","School Report Scotland","A survey of LGBT young people's experiences of secondary education including bullying, how schools responded, teaching, and support.",1,,,,,,1,1,
"School Education","Scottish Survey of Literacy and Numeracy","This publication summarises the results from the Scottish Survey of Literacy and Numeracy (SSLN), an annual sample survey which monitors national performance in literacy and numeracy in alternate years, for school pupils at P4, P7 and S2.",1,1,,,1,,,,
"School Education","Summary Statistics for Attainment, Leaver Destinations and Healthy Living","Publication looking at the activity of young people immediately after they leave school, including employment and further or higher education. Covers ethnicity, gender, additional support needs and deprivation",1,,1,1,1,,,,
"School Education","Summary Statistics for Schools in Scotland","Contains the results of the annual pupil census, annual teacher census, early learning and childcare data , school estates data, attendance and absence data and exclusions data. It includes statistics on teachers by age and gender; and on pupils by ethnicity, gender and additional support needs",1,1,1,1,1,,,,
"School Education","The Teacher Report: Homophobic Bullying in Scotland's Schools","A Stonewall survey of primary and secondary teachers, looking at their experiences of homophobic bullying in their schools, and the inclusion of sexual orientation issues in the classroom.",1,,,,,,1,,
"Summary","A Gender Audit of Statistics: Comparing the Position of Women and Men in Scotland","This research provides a review of statistics on gender differences and inequalities in Scotland across a range of key areas of social and economic life.",,,,,1,,,,
"Summary","A Review of Literature on Effective Interventions that Prevent and Respond to Harm Against Adults","This report presents a review of literature on interventions relating to different types of harm against adults (physical; psychological; financial; sexual; discriminatory; and neglect).",,1,,,,,,,
"Summary","All Our Futures: Planning for a Scotland with an Ageing Population: 3 The Evidence Base","Draws on a variety of quantitative and qualitative research and statistical data to bring together some of the key evidence on older people.",,1,,,,,,,
"Summary","Analysis of Equality Results from the 2011 Census: Part 1","Analysis of Equality Results from the 2011 Census, including Ethnicity, Gypsy/Travellers, Religion, Disability and BSL and contains data by age.",1,1,1,1,1,1,,,
"Summary","Analysis of Equality Results from the 2011 Census: Part 2","Brings together relevant statistics from the census and other sources to paint a highly detailed picture of equality in Scotland. The policy areas covered are Labour Market, Education, Housing and Transport. The BSL section contains data by age.",1,1,1,1,1,1,,,
"Summary","Analysis of Religion in the 2001 Census","The report explores the characteristics of each of the religion groups in Scotland using information collected from the 2001 Census in Scotland.",1,,,,,1,,,
"Summary","Characteristics of Adults in Scotland with Long-Term Health Conditions - Research Findings","This paper summarises an analysis of existing Scottish Household Survey and Scottish Health Survey data to provide a profile of the characteristics, circumstances and support needs of people with long term health conditions.",,1,,,,,,,
"Summary","Characteristics of migrants in Scotland: Analysis of the 2011 Census","Compares characteristics (including Age) of migrants from European Economic Area (EEA) and non-EEA countries with the Scotland-born population and migrants from the rest of the UK.",,1,,1,1,1,,,
"Summary","Communication Support Needs: A Review of the Literature","This research reviews existing literature on the needs and experiences of people with communication support needs and highlights the implications these have for service provision.",,,1,,,,,,
"Summary","Datashine Scotland","Datashine Scotland maps key statistics from the 2011 Scottish Census on an interactive map, including disability.",,,1,,,,,,
"Summary","Disability and Employment in Scotland: A Review of the Evidence Base","The report discusses the evidence base in relation to disabled people's access to and participation within the labour market and identifies gaps in current research in order to inform future research.",,,1,,,,,,
"Summary","European Union lesbian, gay, bisexual and transgender survey ","A UK-level comparison with other European Countries in areas including employment and crime. Additionally, results are disaggregated by LGBT sub-group.",,,,,,,,1,
"Summary","Experiences of Muslims living in Scotland","This is the final report of a study into the experiences of Muslims living in Scotland, with specific focus on experiences of discrimination and religious intolerance.",,,,,,1,,,
"Summary","Forced Marriage Statutory Guidance Analysis Of Consultation Findings","A consultation was carried out by the Scottish Government from March to July 2011 on draft Forced Marriage Statutory Guidance, to inform the final document.",,,,,1,,,,
"Summary","How does personal well-being vary by sex, disability, ethnicity and religion?","Report exploring differences in personal well-being rating for different equality groups. It includes disability, ethnicity, gender and religion",,,2,1,1,1,,,
"Summary","How well is the UK performing on disability rights?","A report looking at the progress the UK has made against the UN Committee on the Rights of the Person with Disabilities",,,2,,,,,,
"Summary","Independent Living in Scotland Project","A report on the progress to make independent living the reality for disabled people in Scotland.",,,2,,,,,,
"Summary","Inequality among lesbian, gay bisexual and transgender groups in the UK: A review of evidence","A review of evidence to identify the inequality and disadvantage experienced by lesbian, gay, bisexual and transgender people in the UK. ",,,,,,,1,1,
"Summary","Interactive census profiler","The Economic and Social Research Council's Centre on Dynamics of Ethnicity (CoDE) has produced an excel-based  that allows users to create tailored census analysis using England and Wales data.",,,,1,,,,,
"Summary","Investigation of Access to Public Services in Scotland Using British Sign Language","Research report exploring the extent of access to public services in British Sign language (BSL) by Deaf people. A DVD reporting on the research is available in British Sign Language.",,,1,,,,,,
"Summary","LGBT in Britain: Trans Report","Report based on research with 871 trans and non-binary people within the UK.  It covers hate crime, discrimination, work, higher education, healthcare and housing",,,,,,,,1,
"Summary","Life in Scotland for LGBT Young People","Analysis from a survey of LGBT young people in Scotland, covering homophobia, biphobia, and transphobia, discrimination, hate crime, transport, education, health and work.",,1,,,,,1,1,
"Summary","Life Opportunities Survey","The Life Opportunities Survey compares how disabled and non-disabled people participate in society across areas including work, education, social participation, transport, and use of public services.",,,2,,,,,,
"Summary","Measuring Sexual Identity: An Evaluation Report","An Office for National Statistics evaluation based on the Integrated Household Survey (IHS) experimental data, collected between April 2009 - March 2010.",,,,,,,1,,
"Summary","Non-binary people's experiences in the UK","A Scottish Transgender Alliance survey of 895 non-binary people's experiences of services and employment within the UK.",,,,,,,,1,
"Summary","Overview of Equality Results from 2011 Census Release 2","This paper provides further analysis of equality data originally released from the Census by the National Records of Scotland (NRS). It pulls this together into a user friendly format providing new analysis and insight, particularly around deprivation. The main equality strands included in the paper are ethnicity, religion and disability.",,,1,1,,1,,,
"Summary","Pregnancy and maternity-related discrimination and disadvantage","Results of research on pregnancy and maternity-related discrimination and disadvantage in the workplace.",,,,,1,,,,
"Summary","Public sector equality duty: Guidance for reporting on gender and employment, equal pay, and occupational segregation","Guidance providing information to help Scottish public authorities meet the public sector equality duty as it relates to gender and employment",,,,,1,,,,
"Summary","Reporting on Progress Towards Equality of Opportunity for Women and Men made by Public Authorities in Scotland: Ministerial Priorities for Gender Equality: Tackling Occupational Segregation","This research was carried out to identify progress made by Scottish public authorities in tackling violence against women to enable Scottish Ministers to report against the requirements of the Gender Equality Duty. Four reports and research findings have been published.",,,,,1,,,,
"Summary","Reporting on Progress Towards Equality of Opportunity for Women and Men Made by Public Authorities in Scotland: Ministerial Priorities for Gender Equality: Tackling Violence Against Women","This research was carried out to identify progress made by Scottish public authorities in tackling violence against women to enable Scottish Ministers to report against the requirements of the Gender Equality Duty. Four reports and research findings have been published.",,,,,1,,,,
"Summary","Scottish Government Equality Outcomes: Age Evidence Review","A comprehensive review of available evidence in relation to age equality.",,1,,,,,,,
"Summary","Scottish Government Equality Outcomes: Disability Evidence Review","A comprehensive review of available evidence in relation to disability.",,,1,,,,,,
"Summary","Scottish Government Equality Outcomes: Ethnicity Evidence Review","A comprehensive review of available evidence in relation to ethnicity.",,,,1,,,,,
"Summary","Scottish Government Equality Outcomes: Gender Evidence Review","A comprehensive review of available evidence in relation to gender",,,,,1,,,,
"Summary","Scottish Government Equality Outcomes: Lesbian, Gay, Bisexual and Transgender (LGBT) Evidence Review","A comprehensive review of available evidence in relation to sexual orientation and transgender people",,,,,,,1,1,
"Summary","Scottish Government Equality Outcomes: Religion and Belief Evidence Review","A comprehensive review of available evidence in relation to religion",,,,,,1,,,
"Summary","Scottish Household Survey","This report presents reliable and up-to-date information on the composition, characteristics and behaviour of Scottish households, both nationally and at a sub-national level. This includes analysis of age, deprivation, disability, ethnicity, gender, religion and sexual orientation",1,1,1,1,1,1,1,,1
"Summary","Scottish Ministers Duty Reports: Events with Disabled People","A written summary report of 3 events that were held with disabled people in May 2009. Purpose of events was to find out disabled people's views on the Scottish Government's proposals for coordination of action across the public sector, as identified in Minister's Duty Reports published in November 2008.</p><p>Reporting on Progress towards Equality of Opportunity between Disabled Persons and Other Persons made by Public Authorities in Scotland (2008) - Reporting on Progress towards Equality of Opportunity between Disabled Persons and Other Persons made by Public Authorities in Scotland",,,1,,,,,,
"Summary","Scottish Muslims in Numbers: Understanding Scotland’s Muslims through the 2011 Census","This report offers a timely analysis of some of the unique demographic trends of  Scotland’s increasingly diverse Muslim communities using 2011 and 2001 Census data.",,,,,,1,,,
"Summary","Scottish Social Attitudes Survey","This report explores attitudes to discrimination and positive action in Scotland in relation to: age, disability, gender, race, religion, gender reassignment and sexual orientation.",,1,1,1,,,1,1,
"Summary","Scottish Surveys Core Questions","Official statistics publication on equality groups across a range of measures from harmonised questions across the major SG population surveys. This publication is available for individual years, as well as a combined multi-year SSCQ which pools several years of data allowing for more in-depth analysis. This publication provides statistics centred around protected equality characteristics and sub-national geographies: age, disability, ethnicity, gender, religion, sexual orientation, country of birth, deprivation and Health Board/Police Scotland Division.",1,1,1,1,1,1,1,,1
"Summary","Sexual identity, UK: 2016","Experimental statistics produced by the Office for National Statistics on sexual orientation within the UK",,,,,,,1,,
"Summary","Sexual Orientation in Scotland","This report draws together statistics and research on sexual orientation from a range of sources and presents these in a single bulletin, providing user-friendly infographics and commentary. It examines the differences between heterosexual adults in Scotland and those who self-identify their sexual orientation as lesbian, gay, bisexual or other in major household surveys.",1,,,,,,1,,
"Summary","Stonewall Scotland Workplace Equality Index","An annual report measuring workplace inclusivity of lesbian, gay, bisexual and trans employees, including staff survey results",,,,,,,1,1,
"Summary","Supporting Trans Employees in the Workplace","Research paper looking at experiences of trans people within the workplace. Contains a review of existing literature, as well as results of a qualitative study of trans employees experiences.",,,,,,,,1,
"Summary","The Experiences of Children with Lesbian and Gay Parents: An Initial Scoping Review of Evidence","Presents the findings from a review of evidence into the experiences of children of lesbian, gay, bisexual and transgender (LGBT) parents. The findings are taken from eight papers identified by experts in the field and an internal literature search. It should be noted that these identified papers were predominantly focused on lesbian and gay parenting and not on parents identifying as bisexual or transgender.",,,,,,,1,,
"Summary","The Position of Scotland’s Equality Groups. Revisiting Resilience in 2011","This study seeks to offer discussion and analysis to inform an understanding of how well positioned people in Scotland with equalities characteristics are to access the benefits of economic recovery",,1,,,1,1,,,
"Summary","The Pursuit of Gender Equality: An uphill battle","An OECD report looking at progress towards gender equality. Topics include violence against women, gender budgeting, the unequal sharing of unpaid work, labour market outcomes and migration",,,,,1,,,,
"Summary","Trans Mental Health and Emotional Wellbeing Study","A Scottish Transgender Alliance survey of trans and non-binary people living in the UK covering, mental and physical health, employment and housing",,,,,,,,1,
"Summary","UK Ethnicity Facts and Figures","This website brings together a range of UK government statistics covering ethnicity.  It includes crime, culture, education, health, housing and work",1,,,1,,,,,
"Summary","Violence Against Women: A literature review","Literature review on violence against women.",,,,,1,,,,
"Summary","labour Market Statistics Monthly Briefing Paper","The monthly publication contains headline Labour Market Statistics, trends by gender and youth employment and unemployment.",,1,,,1,,,,
"Summary","Scotland's Councillors","his report presents the findings of a survey of all councillors in Scotland following the May 2012 local elections. It includes age, ethnicity, gender and religion of councillors in Scotland",,1,,1,1,1,,,
"Summary","School Report Scotland","A survey of LGBT young people's experiences of secondary education including bullying, how schools responded, teaching, and support.",,,,,,,1,1,
"Summary","Gender Index Working Paper","This working paper describes the process that the Scottish Government has followed to date to explore producing a Gender Index that brings together a range of indicators on inequalities facing both women and men in Scotland. This was a research action identified in the Fairer Scotland Action Plan, published in October 2016. The Scottish Government is publishing this working paper now to update on progress and to invite those who may have an interest in developing this, and other gender data initiatives, further to get in touch. A workshop is planned for Autumn 2017 and anyone who is interested can contact the Scottish Government: <a href=\mailto:equality-and-poverty-analysis@gov.scot\"">equality-and-poverty-analysis@gov.scot</a>""",1,,,,,,,,
"Summary","Equality Evidence Strategy","Scotland's Equality Evidence Strategy has now been published on the Scottish Government website. This paper sets out a four year strategy (2017 - 2021) describing the equality evidence gaps we have identified in concert with our partner organisations and academic colleagues, and detailing a strategic approach to strengthening Scotland's equality evidence base.",1,,,,,,,,
"Summary","Equality Evidence Toolkit","This resource aims to help public authorities source and use equality evidence to meet requirements of The Equality Act 2010 (Specific Duties)(Scotland) Regulations 2012. This evidence can be used for: reporting progress towards equality outcomes; equality mainstreaming; and reporting information on employees. The resource was updated in August 2016 - it can be used by public authorities to help develop new outcomes and prepare for reporting in April 2017. ",1,,,,,,,,
"Summary","New Perspectives on the Gender Pay Gap","This report explains the different measures of the gender pay gap and considers how it has been changing over time. It also considers underlying drivers and describes Scottish Government policy intended to help encourage the decline of the pay gap.",1,,,,,,,,
"Summary","Gypsy/Travellers in Scotland","This report brings together analysis previously published to provide a comprehensive and wide ranging evidence base on Scotland’s Gypsy/Travellers. It presents analysis of key areas such as health, education, housing, transport and economic indicators to reveal important information on the lives and life chances of Gypsy/Travellers.",1,,,,,,,,
